LogicalName,Label,SchemaName,IsCustomEntity,IsActivity,Description
aipluginexternalschema,AIPluginExternalSchema,AIPluginExternalSchema,True,False,AIPluginExternalSchemas component
aipluginexternalschemaproperty,AIPluginExternalSchemaProperty,AIPluginExternalSchemaProperty,True,False,AIPluginExternalSchemaProperties component
aiplugingovernance,AI Plugin Governance,AIPluginGovernance,True,False,
aiplugingovernanceext,AI Plugin Governance Extended,AIPluginGovernanceExt,True,False,
aiplugininstance,AIPluginInstance,AIPluginInstance,True,False,AI Plugin Instances Component
aipluginoperation,AIPluginOperation,AIPluginOperation,True,False,AIPluginOperations component
aipluginoperationparameter,AIPluginOperationParameter,AIPluginOperationParameter,True,False,Parameter overrides for AI Operation
aipluginoperationresponsetemplate,AIPluginOperationResponseTemplate,AIPluginOperationResponseTemplate,True,False,Content for the AI Plugin Operation Response Template
aiplugintitle,AIPluginTitle,AIPluginTitle,True,False,AIPlugin Title
aipluginusersetting,AIPluginUserSetting,AIPluginUserSetting,True,False,
aiskillconfig,AI Skill Config,aiskillconfig,True,False,
allowedmcpclient,Allowed MCP Client,allowedmcpclient,True,False,An MCP client that is allowed to talk to MCP endpoint
annotation,Note,Annotation,False,False,"Note that is attached to one or more objects, including other notes."
appaction,App Action,appaction,True,False,Contains Modern Command Information
appaction_appactionrule_classicrules,appaction_appactionrule_classicrules,appaction_appactionrule_classicrules,True,False,
appactionmigration,App Action Migration,appactionmigration,True,False,
appactionrule,App Action Rule,appactionrule,True,False,
appactionrule_webresource_scripts,appactionrule_webresource_scripts,appactionrule_webresource_scripts,True,False,
appelement,Model-Driven App Element,AppElement,True,False,Associates a model-driven app with its components.
appentitysearchview,AppEntitySearchView,AppEntitySearchView,True,False,This table contains records of app entity search views
application,Application,Application,False,False,Application
applicationfile,Application File,ApplicationFile,False,False,Files used by the application
applicationroles,applicationroles,ApplicationRoles,True,False,
applicationuser,ApplicationUser,ApplicationUser,True,False,Application User that has non-interactive access to the CDS system
applicationuserprofile,applicationuserprofile,applicationuserprofile,True,False,
applicationuserrole,applicationuserrole,applicationuserrole,True,False,
appmodulecomponentedge,Model-Driven App Component Node's Edge,AppModuleComponentEdge,True,False,Contains Model-Driven App Component Node's Edge Information.
appmodulecomponentnode,Model-Driven App Component Node,AppModuleComponentNode,True,False,Contains Model-Driven App Component Node Information
appmodulemetadata,AppModule Metadata,AppModuleMetadata,False,False,For internal use only.
appmodulemetadatadependency,AppModule Metadata Dependency,AppModuleMetadataDependency,False,False,For internal use only.
appmodulemetadataoperationlog,AppModule Metadata Async Operation,AppModuleMetadataOperationLog,False,False,For internal use only.
appnotification,Notification,appnotification,True,False,Notification to be provided to a user.
appointment,Appointment,Appointment,False,True,Commitment representing a time interval with start/end times and duration.
approvalprocess,Approval Process,approvalprocess,True,False,Approval Process for Multi-Stage Approvals
approvalstageapproval,Approval Stage Approval,approvalstageapproval,True,False,The approval stage in multi-stage approvals
approvalstagecondition,Approval Stage Condition,approvalstagecondition,True,False,The condition in multi-stage approvals
approvalstageintelligent,Approval Stage Intelligent,approvalstageintelligent,True,False,
approvalstageorder,Approval Stage Order,approvalstageorder,True,False,The order of the stages in multi-stage approvals.
appsetting,Model-Driven App Setting,AppSetting,True,False,Holds the value for the associated App Setting Definition.
appusersetting,Model-Driven App User Setting,AppUserSetting,True,False,Holds the value for the associated App User Setting Definition.
archivecleanupinfo,ArchiveCleanupInfo,ArchiveCleanupInfo,True,False,This is Deprecated Entity.
archivecleanupoperation,ArchiveCleanupOperation,ArchiveCleanupOperation,True,False,This is Deprecated Entity.
aspn_aspentask,Aspen Task,aspn_aspentask,True,False,Aspen Tasks
attributeclusterconfig,Attribute Cluster Config,AttributeClusterConfig,True,False,Holds Attribute Cluster configuration for entities
attributeimageconfig,Image Attribute Configuration,AttributeImageConfig,True,False,Store configuration for each image attribute
attributemaskingrule,Secured Masking Column,AttributeMaskingRule,False,False,Defines secured masking rule for column
attributepicklistvalue,Option Set Value,AttributePicklistValue,False,False,Option Set Value
authorizationserver,Authorization Server,AuthorizationServer,False,False,Authorization servers that trust this organization
azureserviceconnection,Azure Service Connection,AzureServiceConnection,False,False,Stores connection information for an Azure service
backgroundoperation,Background Operation,backgroundoperation,True,False,
bookableresource,Bookable Resource,BookableResource,False,False,Resource that has capacity which can be allocated to work.
bookableresourcebooking,Bookable Resource Booking,BookableResourceBooking,False,False,Represents the line details of a resource booking.
bookableresourcebookingexchangesyncidmapping,Bookable Resource Booking to Exchange Id Mapping,BookableResourceBookingExchangeSyncIdMapping,False,False,The mapping used to keep track of the IDs for items synced between Dynamics 365 Bookable Resource Booking and Exchange.
bookableresourcebookingheader,Bookable Resource Booking Header,BookableResourceBookingHeader,False,False,Reservation entity representing the summary of the associated resource bookings.
bookableresourcecategory,Bookable Resource Category,BookableResourceCategory,False,False,Categorize resources that have capacity into categories such as roles.
bookableresourcecategoryassn,Bookable Resource Category Assn,BookableResourceCategoryAssn,False,False,Association entity to model the categorization of resources.
bookableresourcecharacteristic,Bookable Resource Characteristic,BookableResourceCharacteristic,False,False,Associates resources with their characteristics and specifies the proficiency level of a resource for that characteristic.
bookableresourcegroup,Bookable Resource Group,BookableResourceGroup,False,False,Associates resources with resource groups that they are a member of.
bookingstatus,Booking Status,BookingStatus,False,False,Allows creation of multiple sub statuses mapped to a booking status option.
bot,Copilot,bot,True,False,Represents a copilot created in Copilot Studio. https://copilotstudio.microsoft.com/
bot_botcomponent,bot_botcomponent,bot_botcomponent,True,False,
bot_botcomponentcollection,bot_botcomponentcollection,bot_botcomponentcollection,True,False,
bot_environmentvariabledefinition,bot_environmentvariabledefinition,bot_environmentvariabledefinition,True,False,
botcomponent,Copilot component,botcomponent,True,False,"Holds key authoring components of a Copilot such a topics, entities, variables, etc."
botcomponent_aipluginoperation,botcomponent_aipluginoperation,botcomponent_aipluginoperation,True,False,
botcomponent_botcomponent,botcomponent_botcomponent,botcomponent_botcomponent,True,False,
botcomponent_connectionreference,botcomponent_connectionreference,botcomponent_connectionreference,True,False,
botcomponent_dvtablesearch,botcomponent_dvtablesearch,botcomponent_dvtablesearch,True,False,
botcomponent_environmentvariabledefinition,botcomponent_environmentvariabledefinition,botcomponent_environmentvariabledefinition,True,False,
botcomponent_msdyn_aimodel,botcomponent_msdyn_aimodel,botcomponent_msdyn_aimodel,True,False,
botcomponent_workflow,botcomponent_workflow,botcomponent_workflow,True,False,
botcomponentcollection,Copilot component collection,botcomponentcollection,True,False,
bp_defaultapplication,Application,bp_DefaultApplication,True,False,
bp_permit,Permit,bp_Permit,True,False,
bp_permitsteps,Permit Steps,bp_PermitSteps,True,False,
bulkarchiveconfig,BulkArchiveConfig,BulkArchiveConfig,True,False,This is Deprecated Entity.
bulkarchivefailuredetail,BulkArchiveFailureDetail,BulkArchiveFailureDetail,True,False,This is Deprecated Entity.
bulkarchiveoperation,BulkArchiveOperation,BulkArchiveOperation,True,False,This is Deprecated Entity.
bulkarchiveoperationdetail,BulkArchiveOperationDetail,BulkArchiveOperationDetail,True,False,This is Deprecated Entity.
businessdatalocalizedlabel,Business Data Localized Label,BusinessDataLocalizedLabel,False,False,Business Data Localized Label
businessprocess,Business Process,businessprocess,True,False,
businessprocesslinkedartifact,Business Process Linked Artifact,BusinessProcessLinkedArtifact,True,False,
businessunitmap,Business Unit Map,BusinessUnitMap,False,False,Stores mapping attributes for business units.
businessunitnewsarticle,Announcement,BusinessUnitNewsArticle,False,False,Announcement associated with an organization.
callbackregistration,Callback Registration,CallbackRegistration,False,False,Callback Registration that stores configuration.
canvasapp,Canvas App,CanvasApp,False,False,An application built through a canvas-based editing experience.
canvasappextendedmetadata,CanvasApp Extended Metadata,CanvasAppExtendedMetadata,True,False,Holds extended metadata values for canvas apps that are not solution aware
card,Card,card,True,False,Card
cardentityconnections,cardentityconnections,cardentityconnections,True,False,
cardstateitem,Card State Item,cardstateitem,True,False,
cardtype,Action Card Type,CardType,False,False,To provide master data for the card types list. For internal use only
cascadegrantrevokeaccessrecordstracker,CascadeGrantRevokeAccessRecordsTracker,cascadegrantrevokeaccessrecordstracker,True,False,
cascadegrantrevokeaccessversiontracker,CascadeGrantRevokeAccessVersionTracker,cascadegrantrevokeaccessversiontracker,True,False,
catalog,Catalog,Catalog,True,False,Entity for cataloging records to make it easier for your customers to find them on portals and through search.
catalogassignment,Catalog Assignment,CatalogAssignment,True,False,Entity for assigning records to a specific catalog 
category,Category,Category,False,False,Entity for categorizing records to make it easier for your customers to find them on portals and through search.
certificatecredential,CertificateCredential,CertificateCredential,True,False,Contains data to represent an Azure Active Directory Application used to connect to secure web-hosted resources.
channelaccessprofileentityaccesslevel,channelaccessprofileentityaccesslevel,ChannelAccessProfileEntityAccessLevel,False,False,Group of privileges used to categorize users to provide appropriate access to entities.
channelaccessprofileruleitem,Channel Access Profile Rule Item,ChannelAccessProfileRuleItem,False,False,Defines the rule items of a profile rule set for the automated profile association.For internal use only
channelproperty,Channel Property,ChannelProperty,False,False,Instance of a channel property containing its name and corresponding data type.
channelpropertygroup,Channel Property Group,ChannelPropertyGroup,False,False,Group or collection of channel properties provided by the external channel for a Microsoft Dynamics 365 activity.
characteristic,Characteristic,Characteristic,False,False,"Skills, education and certifications of resources."
chat,Teams chat,chat,True,True,For internal use only. Entity which stores association data of Dynamics 365 records with Microsoft Teams chat
clientupdate,Client update,ClientUpdate,False,False,Microsoft Dynamics 365 client for Outlook offline database update.
columnmapping,Column Mapping,ColumnMapping,False,False,Mapping for columns in a data map.
comment,Comment,Comment,True,False,A collaborative comment on a maker artifact
complexcontrol,Process Configuration,ComplexControl,False,False,For internal use only.
componentchangesetpayload,Component Changeset Payload,componentchangesetpayload,True,False,
componentchangesetversion,Component Changeset Version,componentchangesetversion,True,False,
componentversion,Component Version,componentversion,True,False,
componentversiondatasource,Component Version Data Source,componentversiondatasource,True,False,
componentversionnrddatasource,Component Version (Internal),componentversionnrddatasource,True,False,
connection,Connection,Connection,False,False,Relationship between two entities.
connectioninstance,Connection Instance,ConnectionInstance,True,False,
connectionreference,Connection Reference,connectionreference,True,False,
connector,Connector,connector,True,False,Connector Entity to support Solutioning Integration
contact,Contact,Contact,False,False,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague."
conversationtranscript,ConversationTranscript,conversationtranscript,True,False,"Contains the transcripts of conversations between participants such as customers, Virtual Agents or Human agents."
convertrule,Record Creation and Update Rule,ConvertRule,False,False,Defines the settings for automatic record creation.
convertruleitem,Record Creation and Update Rule Item,ConvertRuleItem,False,False,Defines the individual conditions required for creating records automatically.
copilotexamplequestion,CopilotExampleQuestion,CopilotExampleQuestion,True,False,CopilotExampleQuestions Component
copilotglossaryterm,CopilotGlossaryTerm,CopilotGlossaryTerm,True,False,CopilotGlossaryTerm Component
copilotsynonyms,CopilotSynonyms,CopilotSynonyms,True,False,CopilotSynonyms Component
credential,Credential,credential,True,False,
customapi,Custom API,CustomAPI,True,False,Entity that defines a custom API
customapirequestparameter,Custom API Request Parameter,CustomAPIRequestParameter,True,False,Entity that defines a request parameter for a custom API
customapiresponseproperty,Custom API Response Property,CustomAPIResponseProperty,True,False,Entity that defines a response property for a custom API 
customeraddress,Address,CustomerAddress,False,False,Address and shipping information. Used to store additional addresses for an account or contact.
customerrelationship,Customer Relationship,CustomerRelationship,False,False,Relationship between a customer and a partner in which either can be an account or contact.
datalakefolder,Data Lake Folder,datalakefolder,True,False,A folder is a place to store data in Azure Data Lake.
datalakefolderpermission,Data Lake Folder Permission,datalakefolderpermission,True,False,
datalakeworkspace,Data Lake Workspace,datalakeworkspace,True,False,A workspace is a place to store data in Azure Data Lake.
datalakeworkspacepermission,Data Lake Workspace Permission,datalakeworkspacepermission,True,False,
dataperformance,Data Performance Dashboard,DataPerformance,False,False,Data Performance Dashboard.
dataprocessingconfiguration,Data Processing configuration,DataProcessingConfiguration,True,False,
delegatedauthorization,DelegatedAuthorization,DelegatedAuthorization,True,False,Context for delegated authorization.
deleteditemreference,Deleted Record Reference,DeletedItemReference,True,False,Deleted Record Reference
delveactionhub,DelveActionHub,DelveActionHub,False,False,Delve Action Hubs Description
dependencyfeature,Dependency Feature,DependencyFeature,False,False,A dependency feature.
desktopflowbinary,Desktop Flow Binary,desktopflowbinary,True,False,
desktopflowmodule,Desktop Flow Module,desktopflowmodule,True,False,
documentindex,Indexed Article,DocumentIndex,False,False,Article indexed for search purposes.
documenttemplate,Document Template,DocumentTemplate,False,False,Used to store Document Templates in database in binary format.
dvfilesearch,DVFileSearch,DVFileSearch,True,False,DVFileSearches Component
dvfilesearchattribute,DVFileSearchAttribute,DVFileSearchAttribute,True,False,
dvfilesearchentity,DVFileSearchEntity,DVFileSearchEntity,True,False,DVFileSearchEntities component.
dvtablesearch,DVTableSearch,DVTableSearch,True,False,DVTableSearches component
dvtablesearchattribute,DVTableSearchAttribute,DVTableSearchAttribute,True,False,DVTableSearchAttribute component
dvtablesearchentity,DVTableSearchEntity,DVTableSearchEntity,True,False,DVTableSearchEntities component
email,Email,Email,False,True,Activity that is delivered using email protocols.
emailaddressconfiguration,Email Address Configuration,EmailAddressConfiguration,True,False,Entity which stores configuration metadata for Email Address type fields
emailhash,Email Hash,EmailHash,False,False,Email activity hashes used for correlation purposes.
emailsearch,Email Search,EmailSearch,False,False,Email Address Search Table.
emailserverprofile,Email Server Profile,EmailServerProfile,False,False,Holds the Email Server Profiles of an organization
emailsignature,Email Signature,EmailSignature,False,False,Signature for email message
enablearchivalrequest,EnableArchivalRequest,enablearchivalrequest,True,False,For internal use only.
entityanalyticsconfig,Entity Analytics Config,EntityAnalyticsConfig,False,False,This entity contains information about which entities are enabled for Azure Data Lake Services integration
entityclusterconfig,Entity Cluster Configuration,EntityClusterConfig,True,False,Holds Entity Cluster configuration for entities
entitydataprovider,Virtual Entity Data Provider,EntityDataProvider,False,False,Developers can register plug-ins on a data provider to enable data access for virtual entities in the system.
entitydatasource,Virtual Entity Data Source,EntityDataSource,False,False,Internal entity that stores data source information for all installed providers.
entityimageconfig,Entity Image Configuration,EntityImageConfig,True,False,Store image configuration for each entity
entityindex,Entity Index,EntityIndex,False,False,Metadata describing index of an entity
entityrecordfilter,EntityRecordFilter,EntityRecordFilter,True,False,RecordFilter Object Type Codes
entityrelationship,Entity Relationship,EntityRelationship,False,False,
environmentvariabledefinition,Environment Variable Definition,EnvironmentVariableDefinition,True,False,"Contains information about the settable variable: its type, default value, and etc."
environmentvariablevalue,Environment Variable Value,EnvironmentVariableValue,True,False,Holds the value for the associated EnvironmentVariableDefinition entity.
eventexpanderbreadcrumb,Event Expander Breadcrumb,EventExpanderBreadcrumb,True,False,Table to store breadcrumb records of Event Expander pipeline.
exchangesyncidmapping,Exchange Sync Id Mapping,ExchangeSyncIdMapping,False,False,The mapping used to keep track of the IDs for items synced between CRM and Exchange.
expanderevent,Expander Event,ExpanderEvent,False,False,For internal use only. An event that will be expanded into jobs whose executions can proceed in the background.
expiredprocess,Expired Process,ExpiredProcess,False,False,Expired Process Business Process Flow
exportedexcel,Exported Excel,exportedexcel,True,False,A Place holder entity to save excel file for each exportretaineddata custom api requests.
exportsolutionupload,ExportSolutionUpload,ExportSolutionUpload,True,False,
externalparty,External Party,ExternalParty,False,False,Information about external parties that need to access Dynamics 365 from external channels.For internal use only
externalpartyitem,External Party Item,ExternalPartyItem,False,False,Information about external party items that need to access Dynamics 365 from external channels.For internal use only
fabricaiskill,Fabric AISkill,fabricaiskill,True,False,AISkills published from Fabric.
fax,Fax,Fax,False,True,Activity that tracks call outcome and number of pages for a fax and optionally stores an electronic copy of the document.
featurecontrolsetting,FeatureControlSetting,featurecontrolsetting,True,False,featurecontrolsetting
federatedknowledgecitation,FederatedKnowledgeCitation,FederatedKnowledgeCitation,True,False,Records the Federated Knowledge Citation info for UCI view
federatedknowledgeconfiguration,FederatedKnowledgeConfiguration,FederatedKnowledgeConfiguration,True,False,FederatedKnowledgeConfigurations component
federatedknowledgeentityconfiguration,FederatedKnowledgeEntityConfiguration,FederatedKnowledgeEntityConfiguration,True,False,FederatedKnowledgeEntityConfigurations component
federatedknowledgemetadatarefresh,FederatedKnowledgeMetadataRefresh,FederatedKnowledgeMetadataRefresh,True,False,Records the Federated Knowledge MetadataRefresh job status
feedback,Feedback,Feedback,False,False,Feedback and rating.
filtertemplate,Filter Template,FilterTemplate,False,False,Template for a filter.
flowaggregation,Flow Aggregation,flowaggregation,True,False,
flowcapacityassignment,Flow Capacity Assignment,flowcapacityassignment,True,False,Capacity assignment for usage in Power Automate
flowcredentialapplication,Flow Credential Application,flowcredentialapplication,True,False,
flowevent,Flow Event,flowevent,True,False,Entity to store the events that happen during usage of Power Automate.
flowlog,Flow Log,flowlog,True,False,
flowmachine,Flow Machine,flowmachine,True,False,
flowmachinegroup,Flow Machine Group,flowmachinegroup,True,False,
flowmachineimage,Flow Machine Image,flowmachineimage,True,False,
flowmachineimageversion,Flow Machine Image Version,flowmachineimageversion,True,False,
flowmachinenetwork,Flow Machine Network,flowmachinenetwork,True,False,
flowrun,Flow Run,flowrun,True,False,
flowsession,Flow Session,flowsession,True,False,Entity to store the information that is generated when a Power Automate Desktop flow runs.
flowsessionbinary,Flow Session Binary,flowsessionbinary,True,False,
fxexpression,FxExpression,fxexpression,True,False,
gitbranch,Git Branch,GitBranch,True,False,
gitconfigurationretrievaldatasource,Git Configuration Retrieval Data Source,GitConfigurationRetrievalDataSource,True,False,
gitorganization,Git Organization,GitOrganization,True,False,
gitproject,Git Project,GitProject,True,False,
gitrepository,Git Repository,GitRepository,True,False,
gitsolution,Git Solution,GitSolution,True,False,
globalsearchconfiguration,Global Search Configuration,GlobalSearchConfiguration,False,False,
goal,Goal,Goal,False,False,Target objective for a user or a team for a specified time period.
goalrollupquery,Rollup Query,GoalRollupQuery,False,False,Query that is used to filter the results of the goal rollup.
governanceconfiguration,Governance Configuration,GovernanceConfiguration,True,False,
holidaywrapper,HolidayWrapper,holidaywrapper,False,False,
imagedescriptor,Image Descriptor,ImageDescriptor,False,False,For internal use only.
importentitymapping,Import Entity Mapping,ImportEntityMapping,False,False,Mapping for entities in a data map.
importjob,Import Job,ImportJob,False,False,For internal use only.
indexattributes,Index Attribute,IndexAttributes,False,False,Stores index attributes
indexedtrait,indexedtrait,indexedtrait,True,False,
integrationstatus,Integration Status,IntegrationStatus,False,False,Contains integration status information.
intelligentmemory,IntelligentMemory,IntelligentMemory,True,False,Represents intelligent memories used in the system.
interactionforemail,Interaction for Email,InteractionForEmail,False,False,
internaladdress,Internal Address,InternalAddress,False,False,"Storage of addresses for a user, business unit, or site."
internalcatalogassignment,Internal Catalog Assignment,InternalCatalogAssignment,True,False,
interprocesslock,Inter Process Lock,InterProcessLock,False,False,Inter Process Locks.
isvconfig,ISV Config,IsvConfig,False,False,An XML document used to configure client extension controls.
kbarticle,Article,KbArticle,False,False,Structured content that is part of the knowledge base.
kbarticlecomment,Article Comment,KbArticleComment,False,False,Comment on a knowledge base article.
keyvaultreference,Key Vault Reference,KeyVaultReference,True,False,Contains data that refers to an Azure Key Vault containing credentials used to connect to secure web-hosted resources.
knowledgearticle,Knowledge Article,KnowledgeArticle,False,False,Organizational knowledge for internal and external use.
knowledgearticlescategories,Knowledge Article Category,KnowledgeArticlesCategories,False,False,Category for a Knowledge Article.
knowledgearticleviews,Knowledge Article Views,KnowledgeArticleViews,False,False,No of times an article is viewed per day
knowledgebaserecord,Knowledge Base Record,KnowledgeBaseRecord,False,False,Metadata of knowledge base (KB) articles associated with Microsoft Dynamics 365 entities.
knowledgefaq,Knowledge FAQ,KnowledgeFAQ,True,False,Stores Knowledge Frequently Asked Questions
knowledgesourceconsumer,Knowledge Source Consumer,KnowledgeSourceConsumer,True,False,
knowledgesourceprofile,Knowledge Source Profile,KnowledgeSourceProfile,True,False,
letter,Letter,Letter,False,True,Activity that tracks the delivery of a letter. The activity can contain the electronic copy of the letter.
license,License,License,False,False,Stores information about a Microsoft CRM license.
localconfigstore,LocalConfigStore,LocalConfigStore,False,False,
lookupmapping,Lookup Mapping,LookUpMapping,False,False,"In a data map, maps a lookup attribute in a source file to Microsoft Dynamics 365."
mailbox,Mailbox,Mailbox,False,False,
mailboxstatistics,Mailbox Statistics,MailboxStatistics,False,False,Stores data regarding Mailbox processing cycles
mailmergetemplate,Mail Merge Template,MailMergeTemplate,False,False,Template for a mail merge document that contains the standard attributes of that document.
mainfewshot,MainFewShot,mainfewshot,True,False,This fewshot entity will only be updated during solution installation.
makerfewshot,MakerFewShot,makerfewshot,True,False,This fewshot is updated by maker for testing the queries and by the NL2SQ with the results
managedidentity,Managed Identity,ManagedIdentity,True,False,Contains data to represent an Azure Active Directory Application used to connect to secure web-hosted resources.
managedproperty,Managed Property,ManagedProperty,False,False,
maskingrule,Secured Masking Rule,MaskingRule,False,False,Secured Masking Rules to apply to fields.
mcpserver,MCPServer,MCPServer,True,False,MCPServers component
mcptool,MCPTool,MCPTool,True,False,MCPTools component
metadatadifference,Metadata Difference,MetadataDifference,False,False,Metadata Difference
metadataforarchival,MetadataForArchival,MetadataForArchival,True,False,Holds  metadata values of tables for retention
metric,Goal Metric,Metric,False,False,"Type of measurement for a goal, such as money amount or count."
mobileofflineprofileextension,MobileOfflineProfileExtension,mobileofflineprofileextension,True,False,
mobileofflineprofileitemassociation,Mobile Offline Profile Item Association,MobileOfflineProfileItemAssociation,False,False,Information on relationships to be used to follow related entity's records for mobile offline profile item.
mobileofflineprofileitemfilter,MobileOfflineProfileItemFilter,mobileofflineprofileitemfilter,True,False,
msdyn_aibdataset,AI Builder Dataset,msdyn_AIBDataset,True,False,
msdyn_aibdatasetfile,AI Builder Dataset File,msdyn_AIBDatasetFile,True,False,
msdyn_aibdatasetrecord,AI Builder Dataset Record,msdyn_AIBDatasetRecord,True,False,
msdyn_aibdatasetscontainer,AI Builder Datasets Container,msdyn_AIBDatasetsContainer,True,False,
msdyn_aibfeedbackloop,AI Builder Feedback Loop,msdyn_AIBFeedbackLoop,True,False,
msdyn_aibfile,AI Builder File,msdyn_AIBFile,True,False,
msdyn_aibfileattacheddata,AI Builder File Attached Data,msdyn_AIBFileAttachedData,True,False,
msdyn_aiconfiguration,AI Configuration,msdyn_AIConfiguration,True,False,
msdyn_aiconfiguration_documenttemplate,msdyn_aiconfiguration_documenttemplate,msdyn_aiconfiguration_documenttemplate,True,False,
msdyn_aidataprocessingevent,Data Processing Event,msdyn_AIDataProcessingEvent,True,False,Events that are triggered by Data Processing.
msdyn_aidocumenttemplate,AI Document Template,msdyn_aidocumenttemplate,True,False,Used to store Document templates
msdyn_aievaluationconfiguration,AI Evaluation Configuration,msdyn_AIEvaluationConfiguration,True,False,
msdyn_aievaluationmetric,AI Evaluation Metric,msdyn_AIEvaluationMetric,True,False,
msdyn_aievaluationrun,AI Evaluation Run,msdyn_AIEvaluationRun,True,False,
msdyn_aievent,AI Event,msdyn_AIEvent,True,False,
msdyn_aifptrainingdocument,AI Form Processing Document,msdyn_AIFpTrainingDocument,True,False,
msdyn_aimodel,AI Model,msdyn_AIModel,True,False,
msdyn_aimodelcatalog,AI Model Catalog,msdyn_AIModelCatalog,True,False,This table contains records of AI Model Catalogs used for BYOM
msdyn_aiodimage,AI Object Detection Image,msdyn_AIOdImage,True,False,
msdyn_aiodlabel,AI Object Detection Label,msdyn_AIOdLabel,True,False,
msdyn_aiodlabel_msdyn_aiconfiguration,msdyn_aiodlabel_msdyn_aiconfiguration,msdyn_aiodlabel_msdyn_aiconfiguration,True,False,
msdyn_aiodtrainingboundingbox,AI Object Detection Bounding Box,msdyn_AIOdTrainingBoundingBox,True,False,
msdyn_aiodtrainingimage,AI Object Detection Image Mapping,msdyn_AIOdTrainingImage,True,False,
msdyn_aioptimization,AI Optimization,msdyn_AIOptimization,True,False,
msdyn_aioptimizationprivatedata,AI Optimization Private Data,msdyn_AIOptimizationPrivateData,True,False,
msdyn_aitemplate,AI Template,msdyn_AITemplate,True,False,
msdyn_aitestcase,AI Test Case,msdyn_AITestCase,True,False,
msdyn_aitestcasedocument,AI Test Case Document,msdyn_AITestCaseDocument,True,False,
msdyn_aitestcaseinput,AI Test Case Input,msdyn_AITestCaseInput,True,False,
msdyn_aitestrun,AI Test Run,msdyn_AITestRun,True,False,
msdyn_aitestrunbatch,AI Test Run Batch,msdyn_AITestRunBatch,True,False,
msdyn_analysiscomponent,Analysis Component,msdyn_analysiscomponent,True,False,
msdyn_analysisjob,Analysis Job,msdyn_analysisjob,True,False,
msdyn_analysisoverride,Analysis Override,msdyn_analysisoverride,True,False,
msdyn_analysisresult,Analysis Result,msdyn_analysisresult,True,False,
msdyn_analysisresultdetail,Analysis Result Detail,msdyn_analysisresultdetail,True,False,
msdyn_appinsightsmetadata,App Insights Metadata,msdyn_appinsightsmetadata,True,False,Metadata for App Insights Platform components
msdyn_bookableresourceassociation,Bookable Resource Association,msdyn_bookableresourceassociation,True,False,
msdyn_bookingalert,Booking Alert,msdyn_bookingalert,True,True,Alerts that notify schedule board users of booking issues or information.
msdyn_bookingalertstatus,Booking Alert Status,msdyn_bookingalertstatus,True,False,The status of a booking alert.
msdyn_bookingchange,Booking Change,msdyn_bookingchange,True,False,An internal entity used to track changes that affect the schedule board.
msdyn_bookingrule,Booking Rule,msdyn_bookingrule,True,False,Specify custom rules to be validated by the system before saving a booking record.
msdyn_bookingsetupmetadata,Booking Setup Metadata,msdyn_bookingsetupmetadata,True,False,
